year,make,model,price,mileage,color,url,body_type
2026,Jeep,Wrangler,81860,10,black,https://www.carpages.ca/new-cars/saskatchewan/saskatoon/2026-jeep-wrangler-13190426/,Convertible
2026,Jeep,Wrangler,86300,10,41,https://www.carpages.ca/new-cars/saskatchewan/saskatoon/2026-jeep-wrangler-13190423/,Convertible
2018,Volkswagen,Beetle,29000,54000,red,https://www.carpages.ca/used-cars/british-columbia/vancouver/2018-volkswagen-beetle-13190216/,Convertible
2011,BMW,3,29999,73448,gray,https://www.carpages.ca/used-cars/ontario/paris/2011-bmw-3-series-13188905/,Convertible
2007,Jaguar,XK,24999,91559,red,https://www.carpages.ca/used-cars/ontario/paris/2007-jaguar-xk-13188500/,Convertible
2026,Jeep,Wrangler,61565,18,reign,https://www.carpages.ca/new-cars/nova-scotia/halifax/2026-jeep-wrangler-13187210/,Convertible
2019,Aston,Martin,148888,0,Other,https://www.carpages.ca/used-cars/ontario/mississauga/2019-aston-martin-db11-13183358/,Convertible
1975,Buick,LeSabre,5500,50000,white,https://www.carpages.ca/used-cars/ontario/st-catharines/1975-buick-lesabre-13182287/,Convertible
2007,Jaguar,XK,18900,118000,red,https://www.carpages.ca/used-cars/ontario/toronto/2007-jaguar-xk-13182284/,Convertible
2013,Jeep,Wrangler,14899,145682,blue,https://www.carpages.ca/used-cars/nova-scotia/dartmouth/2013-jeep-wrangler-13181927/,Convertible
2013,Jeep,Wrangler,19787,86726,green,https://www.carpages.ca/used-cars/alberta/edmonton/2013-jeep-wrangler-13181900/,Convertible
2022,BMW,4,46998,58817,black,https://www.carpages.ca/used-cars/ontario/thornhill/2022-bmw-4-series-13181483/,Convertible
2026,Jeep,Wrangler,48480,20,anvil,https://www.carpages.ca/new-cars/saskatchewan/saskatoon/2026-jeep-wrangler-13181162/,Convertible
2025,Porsche,Boxster,109877,8438,gray,https://www.carpages.ca/used-cars/nova-scotia/halifax/2025-porsche-boxster-13178627/,Convertible
2025,Ford,Bronco,65496,10,green,https://www.carpages.ca/new-cars/saskatchewan/regina/2025-ford-bronco-13176737/,Convertible
2025,Ford,Bronco,67751,10,gray,https://www.carpages.ca/new-cars/saskatchewan/regina/2025-ford-bronco-13176734/,Convertible
2021,BMW,Z4,48900,73816,blue,https://www.carpages.ca/used-cars/ontario/vaughan/2021-bmw-z4-13176104/,Convertible
2013,Mercedes-Benz,SLK,29897,37517,black,https://www.carpages.ca/used-cars/ontario/ottawa/2013-mercedes-benz-slk-13169762/,Convertible
2017,Fiat,124,29995,42439,red,https://www.carpages.ca/used-cars/ontario/north-york/2017-fiat-124-spider-13169309/,Convertible
2010,Porsche,911,96898,52424,gray,https://www.carpages.ca/used-cars/ontario/vaughan/2010-porsche-911-13169273/,Convertible
2025,Ford,Mustang,65617,8900,black,https://www.carpages.ca/used-cars/ontario/burlington/2025-ford-mustang-13169099/,Convertible
2017,BMW,2,22950,91279,black,https://www.carpages.ca/used-cars/ontario/north-york/2017-bmw-2-series-13162846/,Convertible
2024,Porsche,Boxster,98900,4230,silver,https://www.carpages.ca/used-cars/ontario/vaughan/2024-porsche-boxster-13160401/,Convertible
2020,Mercedes-Benz,C-Class,38900,59348,white,https://www.carpages.ca/used-cars/ontario/vaughan/2020-mercedes-benz-c-class-13160404/,Convertible
2011,Mercedes-Benz,E-Class,17900,115000,white,https://www.carpages.ca/used-cars/ontario/toronto/2011-mercedes-benz-e-class-13157860/,Convertible
2014,MINI,Cooper,19991,49411,Other,https://www.carpages.ca/used-cars/manitoba/selkirk/2014-mini-cooper-roadster-13157467/,Convertible
2025,Ford,Bronco,58500,10,gray,https://www.carpages.ca/new-cars/saskatchewan/regina/2025-ford-bronco-13153522/,Convertible
2014,Porsche,911,89900,97025,black,https://www.carpages.ca/used-cars/ontario/vaughan/2014-porsche-911-13152934/,Convertible
2017,Mazda,Miata,22999,80920,white,https://www.carpages.ca/used-cars/ontario/guelph/2017-mazda-miata-mx-5-13148689/,Convertible
2026,Jeep,Wrangler,69085,10,white,https://www.carpages.ca/new-cars/saskatchewan/saskatoon/2026-jeep-wrangler-13142353/,Convertible
2026,Jeep,Wrangler,69480,10,anvil,https://www.carpages.ca/new-cars/saskatchewan/saskatoon/2026-jeep-wrangler-13142350/,Convertible
2014,BMW,4,29999,63851,balck,https://www.carpages.ca/used-cars/ontario/paris/2014-bmw-4-series-13141894/,Convertible
2026,Chevrolet,Corvette,108394,5,silver,https://www.carpages.ca/new-cars/alberta/calgary/2026-chevrolet-corvette-13136689/,Convertible
2026,Chevrolet,Corvette,107399,4,red,https://www.carpages.ca/new-cars/alberta/calgary/2026-chevrolet-corvette-13136677/,Convertible
2024,Mazda,Miata,37990,17428,black,https://www.carpages.ca/used-cars/alberta/calgary/2024-mazda-miata-mx-5-13136437/,Convertible
2021,Jeep,Wrangler,32586,139755,green,https://www.carpages.ca/used-cars/ontario/innisfil/2021-jeep-wrangler-13134595/,Convertible
2026,Jeep,Wrangler,61265,4,41,https://www.carpages.ca/new-cars/nova-scotia/halifax/2026-jeep-wrangler-13133354/,Convertible
2024,Chevrolet,Corvette,189888,8709,red,https://www.carpages.ca/used-cars/ontario/napanee/2024-chevrolet-corvette-13132022/,Convertible
2023,Jeep,Wrangler,44989,34546,black,https://www.carpages.ca/used-cars/newfoundland-and-labrador/st-john-s/2023-jeep-wrangler-13129133/,Convertible
2022,BMW,M4,92995,25320,Other,https://www.carpages.ca/used-cars/british-columbia/coquitlam/2022-bmw-m4-13128173/,Convertible
2017,Chevrolet,Corvette,79950,14500,blue,https://www.carpages.ca/used-cars/ontario/north-york/2017-chevrolet-corvette-13126736/,Convertible
2005,Ford,Mustang,3995,215234,burgundy,https://www.carpages.ca/used-cars/ontario/london/2005-ford-mustang-13125566/,Convertible
2018,Volkswagen,Beetle,25999,59843,white,https://www.carpages.ca/used-cars/ontario/hamilton/2018-volkswagen-beetle-13125194/,Convertible
2017,BMW,2,22888,86200,blue,https://www.carpages.ca/used-cars/ontario/burlington/2017-bmw-2-series-13122245/,Convertible
2019,Chevrolet,Camaro,39999,26790,orange,https://www.carpages.ca/used-cars/ontario/paris/2019-chevrolet-camaro-13121315/,Convertible
2015,Ford,Mustang,39999,26354,red,https://www.carpages.ca/used-cars/ontario/paris/2015-ford-mustang-13121129/,Convertible
2023,Audi,TT,59988,19527,black,https://www.carpages.ca/used-cars/ontario/whitby/2023-audi-tt-13118978/,Convertible
2021,Ford,Mustang,45900,37890,black,https://www.carpages.ca/used-cars/ontario/vaughan/2021-ford-mustang-13118885/,Convertible
2018,BMW,M6,67900,72448,black,https://www.carpages.ca/used-cars/ontario/vaughan/2018-bmw-m6-13118873/,Convertible
2016,Porsche,Boxster,53900,85139,white,https://www.carpages.ca/used-cars/ontario/vaughan/2016-porsche-boxster-13118813/,Convertible
2019,Ford,Mustang,28990,57612,gray,https://www.carpages.ca/used-cars/ontario/north-york/2019-ford-mustang-13117931/,Convertible
2006,Mercedes-Benz,SL500,19999,96224,Other,https://www.carpages.ca/used-cars/ontario/st-thomas/2006-mercedes-benz-sl500-13117337/,Convertible
2024,Porsche,911,220998,3960,gray,https://www.carpages.ca/used-cars/ontario/thornhill/2024-porsche-911-13116197/,Convertible
2026,Porsche,911,217750,22,silver,https://www.carpages.ca/new-cars/nova-scotia/halifax/2026-porsche-911-13115840/,Convertible
2026,Jeep,Wrangler,58950,4,mojito,https://www.carpages.ca/new-cars/nova-scotia/halifax/2026-jeep-wrangler-13115825/,Convertible
2026,Jeep,Wrangler,58950,4,41,https://www.carpages.ca/new-cars/nova-scotia/halifax/2026-jeep-wrangler-13115822/,Convertible
2025,Jeep,Wrangler,72075,10,black,https://www.carpages.ca/new-cars/saskatchewan/saskatoon/2025-jeep-wrangler-13115669/,Convertible
2012,Mitsubishi,Eclipse,5999,139410,Other,https://www.carpages.ca/used-cars/ontario/toronto/2012-mitsubishi-eclipse-13113638/,Convertible
2025,Ford,Bronco,55500,10,black,https://www.carpages.ca/new-cars/saskatchewan/regina/2025-ford-bronco-13113005/,Convertible
2014,BMW,4,24900,152584,white,https://www.carpages.ca/used-cars/alberta/edmonton/2014-bmw-4-series-13110458/,Convertible
2016,Jeep,Wrangler,24623,120053,white,https://www.carpages.ca/used-cars/alberta/calgary/2016-jeep-wrangler-13109894/,Convertible
2026,Jeep,Wrangler,58950,4,anvil,https://www.carpages.ca/new-cars/nova-scotia/halifax/2026-jeep-wrangler-13109060/,Convertible
2026,Jeep,Wrangler,81465,10,white,https://www.carpages.ca/new-cars/saskatchewan/saskatoon/2026-jeep-wrangler-13108955/,Convertible
2025,Jeep,Wrangler,75360,10,white,https://www.carpages.ca/new-cars/saskatchewan/saskatoon/2025-jeep-wrangler-13108952/,Convertible
2023,Chevrolet,Corvette,101988,5594,red,https://www.carpages.ca/used-cars/ontario/st-catharines/2023-chevrolet-corvette-13108538/,Convertible
2015,Chevrolet,Corvette,54800,65290,red,https://www.carpages.ca/used-cars/manitoba/headingley/2015-chevrolet-corvette-13108337/,Convertible
2022,Ford,Mustang,42999,8800,black,https://www.carpages.ca/used-cars/british-columbia/richmond/2022-ford-mustang-13106189/,Convertible
2024,Jeep,Wrangler,55697,27865,anvil,https://www.carpages.ca/used-cars/ontario/barrie/2024-jeep-wrangler-4xe-13106015/,Convertible
2026,Chevrolet,Corvette,106904,4,green,https://www.carpages.ca/new-cars/alberta/calgary/2026-chevrolet-corvette-13105532/,Convertible
2020,Mercedes-Benz,SLC,62994,20155,gray,https://www.carpages.ca/used-cars/newfoundland-and-labrador/st-john-s/2020-mercedes-benz-slc-13104968/,Convertible
2017,Fiat,124,22999,81425,red,https://www.carpages.ca/used-cars/saskatchewan/saskatoon/2017-fiat-124-spider-13104848/,Convertible
2017,Volkswagen,Beetle,22173,98036,gold,https://www.carpages.ca/used-cars/ontario/ottawa/2017-volkswagen-beetle-13103588/,Convertible
2014,Mercedes-Benz,SL-Class,37999,71045,white,https://www.carpages.ca/used-cars/ontario/mississauga/2014-mercedes-benz-sl-class-13102031/,Convertible
2023,Chevrolet,Corvette,106988,5666,orange,https://www.carpages.ca/used-cars/ontario/brantford/2023-chevrolet-corvette-13099058/,Convertible
2024,Chevrolet,Corvette,108988,1925,maroon,https://www.carpages.ca/used-cars/ontario/brantford/2024-chevrolet-corvette-13099055/,Convertible
2010,Mazda,Miata,13977,149824,blue,https://www.carpages.ca/used-cars/ontario/toronto/2010-mazda-miata-mx-5-13097399/,Convertible
2022,Ford,Bronco,36694,96023,blue,https://www.carpages.ca/used-cars/manitoba/winnipeg/2022-ford-bronco-13095932/,Convertible
2020,Ford,Mustang,32999,18635,blue,https://www.carpages.ca/used-cars/ontario/ottawa/2020-ford-mustang-13095551/,Convertible
2005,Suzuki,Burgman,999,70118,choisir,https://www.carpages.ca/used-cars/quebec/saint-lazare/2005-suzuki-burgman-13095494/,Convertible
2002,Mercedes-Benz,CLK,5995,206714,silver,https://www.carpages.ca/used-cars/ontario/hamilton/2002-mercedes-benz-clk-13094114/,Convertible
2015,MINI,Cooper,15900,69000,black,https://www.carpages.ca/used-cars/ontario/north-york/2015-mini-cooper-convertible-13092470/,Convertible
2021,Mercedes-Benz,E53,79900,51549,white,https://www.carpages.ca/used-cars/alberta/calgary/2021-mercedes-benz-e53-13089128/,Convertible
2024,Porsche,Boxster,137887,5200,Other,https://www.carpages.ca/used-cars/newfoundland-and-labrador/st-john-s/2024-porsche-boxster-13089005/,Convertible
2024,Jeep,Wrangler,56123,32636,earl,https://www.carpages.ca/used-cars/alberta/calgary/2024-jeep-wrangler-4xe-13088156/,Convertible
2024,Porsche,Boxster,104377,3454,black,https://www.carpages.ca/used-cars/nova-scotia/halifax/2024-porsche-boxster-13087994/,Convertible
2024,Chevrolet,Corvette,168888,2525,red,https://www.carpages.ca/used-cars/ontario/mississauga/2024-chevrolet-corvette-13087955/,Convertible
2023,Mazda,Miata,31790,51500,Other,https://www.carpages.ca/used-cars/ontario/ottawa/2023-mazda-miata-mx-5-13087277/,Convertible
2009,Ford,Mustang,22987,87253,black,https://www.carpages.ca/used-cars/saskatchewan/moose-jaw/2009-ford-mustang-13085738/,Convertible
2025,Jeep,Wrangler,77035,4,blue,https://www.carpages.ca/new-cars/nova-scotia/halifax/2025-jeep-wrangler-13080368/,Convertible
2026,Jeep,Wrangler,88395,4,anvil,https://www.carpages.ca/new-cars/nova-scotia/halifax/2026-jeep-wrangler-13080353/,Convertible
2025,Jeep,Wrangler,87285,4,black,https://www.carpages.ca/new-cars/nova-scotia/halifax/2025-jeep-wrangler-13080350/,Convertible
2007,Ford,Mustang,8999,174320,red,https://www.carpages.ca/used-cars/ontario/mississauga/2007-ford-mustang-13078246/,Convertible
2014,Bentley,Continental,89888,14828,Other,https://www.carpages.ca/used-cars/ontario/mississauga/2014-bentley-continental-13076167/,Convertible
2017,Mazda,Miata,24995,79000,black,https://www.carpages.ca/used-cars/ontario/london/2017-mazda-miata-mx-5-13075669/,Convertible
2021,Ford,Mustang,31348,40253,black,https://www.carpages.ca/used-cars/nova-scotia/halifax/2021-ford-mustang-13072558/,Convertible
2013,Audi,S5,22995,118155,white,https://www.carpages.ca/used-cars/ontario/st-catharines/2013-audi-s5-13072228/,Convertible
2016,BMW,2,32995,61921,blue,https://www.carpages.ca/used-cars/british-columbia/coquitlam/2016-bmw-2-series-13068625/,Convertible
2015,Mercedes-Benz,SLK,29900,113000,gray,https://www.carpages.ca/used-cars/ontario/north-york/2015-mercedes-benz-slk-13067671/,Convertible
2024,BMW,M4,100576,36048,white,https://www.carpages.ca/used-cars/alberta/calgary/2024-bmw-m4-13066918/,Convertible
2015,Audi,A3,18500,98045,gray,https://www.carpages.ca/used-cars/ontario/etobicoke/2015-audi-a3-13063592/,Convertible
2014,Fiat,500,10995,89000,blue,https://www.carpages.ca/used-cars/ontario/london/2014-fiat-500-13063475/,Convertible
2018,Volkswagen,Beetle,24995,75000,black,https://www.carpages.ca/used-cars/ontario/london/2018-volkswagen-beetle-13063445/,Convertible
2016,Mazda,Miata,23995,90000,red,https://www.carpages.ca/used-cars/ontario/london/2016-mazda-miata-mx-5-13063337/,Convertible
2009,Nissan,350Z,19995,93000,blue,https://www.carpages.ca/used-cars/ontario/london/2009-nissan-350z-13063166/,Convertible
2018,Mazda,Miata,30995,7000,white,https://www.carpages.ca/used-cars/ontario/london/2018-mazda-miata-mx-5-13063154/,Convertible
2024,Mazda,Miata,35995,5000,red,https://www.carpages.ca/used-cars/ontario/london/2024-mazda-miata-mx-5-13063148/,Convertible
2007,Saturn,Sky,13495,121000,blue,https://www.carpages.ca/used-cars/ontario/london/2007-saturn-sky-13063031/,Convertible
2011,Mazda,Miata,15495,157000,red,https://www.carpages.ca/used-cars/ontario/london/2011-mazda-miata-mx-5-13062977/,Convertible
2001,Plymouth,Prowler,44995,32000,blue,https://www.carpages.ca/used-cars/ontario/london/2001-plymouth-prowler-13062968/,Convertible
2012,Ford,Mustang,25495,91000,red,https://www.carpages.ca/used-cars/ontario/london/2012-ford-mustang-13062896/,Convertible
2025,Mazda,Miata,47745,6,black,https://www.carpages.ca/new-cars/nova-scotia/dartmouth/2025-mazda-miata-mx-5-13061495/,Convertible
2025,Jeep,Wrangler,75170,10,white,https://www.carpages.ca/new-cars/saskatchewan/saskatoon/2025-jeep-wrangler-13061288/,Convertible
2022,Chevrolet,Corvette,85988,30200,black,https://www.carpages.ca/used-cars/manitoba/winnipeg/2022-chevrolet-corvette-13060799/,Convertible
1976,Alfa,Romeo,10999,96946,red,https://www.carpages.ca/used-cars/ontario/stoney-creek/1976-alfa-romeo-spider-13058516/,Convertible
2026,Chevrolet,Corvette,107398,10,green,https://www.carpages.ca/new-cars/nova-scotia/dartmouth/2026-chevrolet-corvette-13057883/,Convertible
2026,Chevrolet,Corvette,220304,10,red,https://www.carpages.ca/new-cars/ontario/orleans/2026-chevrolet-corvette-13057295/,Convertible
2026,Chevrolet,Corvette,138764,10,silver,https://www.carpages.ca/new-cars/ontario/orleans/2026-chevrolet-corvette-13057292/,Convertible
2014,Fiat,500,9900,0,beige,https://www.carpages.ca/used-cars/ontario/london/2014-fiat-500-13053890/,Convertible
2021,Jeep,Wrangler,42620,53000,black,https://www.carpages.ca/used-cars/alberta/calgary/2021-jeep-wrangler-13053422/,Convertible
2017,Jeep,Wrangler,20995,131972,chief,https://www.carpages.ca/used-cars/newfoundland-and-labrador/grand-falls-windsor/2017-jeep-wrangler-13052390/,Convertible
2019,Audi,A3,29993,53372,black,https://www.carpages.ca/used-cars/new-brunswick/fredericton/2019-audi-a3-13051685/,Convertible
2017,Ford,Mustang,29995,137973,magnetic,https://www.carpages.ca/used-cars/british-columbia/coquitlam/2017-ford-mustang-13051505/,Convertible
2010,Lexus,IS,17680,196911,gray,https://www.carpages.ca/used-cars/british-columbia/surrey/2010-lexus-is-250-13051451/,Convertible
2025,Ford,Bronco,60071.50,0,gray,https://www.carpages.ca/new-cars/nova-scotia/port-hawkesbury/2025-ford-bronco-13047296/,Convertible
2024,Jeep,Wrangler,51623,3295,granite,https://www.carpages.ca/used-cars/alberta/calgary/2024-jeep-wrangler-13045547/,Convertible
2010,Porsche,Boxster,39490,51962,black,https://www.carpages.ca/used-cars/ontario/toronto/2010-porsche-boxster-13043885/,Convertible
2025,Ford,Bronco,64251,10,gray,https://www.carpages.ca/new-cars/saskatchewan/regina/2025-ford-bronco-13042373/,Convertible
2019,Jeep,Wrangler,28486,102499,granite,https://www.carpages.ca/used-cars/ontario/innisfil/2019-jeep-wrangler-13033357/,Convertible
2013,BMW,3,22888,91035,blue,https://www.carpages.ca/used-cars/ontario/mississauga/2013-bmw-3-series-13031596/,Convertible
2017,Ford,Mustang,27988,23739,red,https://www.carpages.ca/used-cars/ontario/st-catharines/2017-ford-mustang-13031416/,Convertible
2018,Porsche,Boxster,69900,126918,black,https://www.carpages.ca/used-cars/ontario/vaughan/2018-porsche-boxster-13031170/,Convertible
2012,BMW,3,19980,124724,black,https://www.carpages.ca/used-cars/british-columbia/surrey/2012-bmw-3-series-13022305/,Convertible
2018,Mercedes-Benz,S-Class,116900,22498,black,https://www.carpages.ca/used-cars/ontario/vaughan/2018-mercedes-benz-s-class-13022284/,Convertible
2019,Mercedes-Benz,SLC,42999,46000,silver,https://www.carpages.ca/used-cars/ontario/barrie/2019-mercedes-benz-slc-13021201/,Convertible
2021,Jeep,Wrangler,42999,70363,green,https://www.carpages.ca/used-cars/saskatchewan/saskatoon/2021-jeep-wrangler-13019485/,Convertible
2022,Ford,Bronco,39988,54258,gray,https://www.carpages.ca/used-cars/nova-scotia/dartmouth/2022-ford-bronco-13012015/,Convertible
2025,Ford,Mustang,46746,27,blue,https://www.carpages.ca/new-cars/ontario/peterborough/2025-ford-mustang-13011139/,Convertible
2019,Porsche,Boxster,69900,13523,white,https://www.carpages.ca/used-cars/ontario/vaughan/2019-porsche-boxster-13009993/,Convertible
1995,Mercedes-Benz,SL-Class,19800,92000,black,https://www.carpages.ca/used-cars/manitoba/headingley/1995-mercedes-benz-sl-class-13009963/,Convertible
